x     rho     p     u
0.00434 1 1 8.35862e-17
0.00435 1 1 8.35862e-17
0.00436 1 1 8.35862e-17
0.00437 1 1 8.35862e-17
0.00438 1 1 8.35861e-17
0.00439 1 1 8.35861e-17
0.0044 1 1 8.35861e-17
0.00441 1 1 8.35861e-17
0.00442 1 1 8.35861e-17
0.00443 1 1 8.35861e-17
0.00444 1 1 8.3586e-17
0.00445 1 1 8.3586e-17
0.00446 1 1 8.3586e-17
0.00447 1 1 8.3586e-17
0.00448 1 1 8.35859e-17
0.00449 1 1 8.35859e-17
0.0045 1 1 8.35859e-17
0.00451 1 1 8.35859e-17
0.00452 1 1 8.35858e-17
0.00453 1 1 8.35858e-17
0.00454 1 1 8.35858e-17
0.00455 1 1 8.35858e-17
0.00456 1 1 8.35858e-17
0.00457 1 1 8.35858e-17
0.00458 1 1 8.35857e-17
0.00459 1 1 8.35857e-17
0.0046 1 1 8.35857e-17
0.00461 1 1 8.35857e-17
0.00462 1 1 8.35856e-17
0.00463 1 1 8.35856e-17
0.00464 1 1 8.35856e-17
0.00465 1 1 8.35856e-17
0.00466 1 1 8.35855e-17
0.00467 1 1 8.35855e-17
0.00468 1 1 8.35855e-17
0.00469 1 1 8.35855e-17
0.0047 1 1 8.35855e-17
0.00471 1 1 8.35855e-17
0.00472 1 1 8.35854e-17
0.00473 1 1 8.35854e-17
0.00474 1 1 8.35854e-17
0.00475 1 1 8.35854e-17
0.00476 1 1 8.35853e-17
0.00477 1 1 8.35853e-17
0.00478 1 1 8.35853e-17
0.00479 1 1 8.35853e-17
0.0048 1 1 8.35852e-17
0.00481 1 1 8.35852e-17
0.00482 1 1 8.35852e-17
0.00483 1 1 8.35852e-17
0.00484 1 1 8.35851e-17
0.00485 1 1 8.35851e-17
0.00486 1 1 8.35851e-17
0.00487 1 1 8.35851e-17
0.00488 1 1 8.35851e-17
0.00489 1 1 8.35851e-17
0.0049 1 1 8.3585e-17
0.00491 1 1 8.3585e-17
0.00492 1 1 8.3585e-17
0.00493 1 1 8.3585e-17
0.00494 1 1 8.35849e-17
0.00495 1 1 8.35849e-17
0.00496 1 1 8.35849e-17
0.00497 1 1 8.35849e-17
0.00498 1 1 8.35848e-17
0.00499 1 1 8.35848e-17
0.005 1 1 8.35848e-17
0.00501 1 1 8.35848e-17
0.00502 1 1 8.35847e-17
0.00503 1 1 8.35847e-17
0.00504 1 1 8.35847e-17
0.00505 1 1 8.35847e-17
0.00506 1 1 8.35846e-17
0.00507 1 1 8.35846e-17
0.00508 1 1 8.35846e-17
0.00509 1 1 8.35846e-17
0.0051 1 1 8.35845e-17
0.00511 1 1 8.35845e-17
0.00512 1 1 8.35845e-17
0.00513 1 1 8.35845e-17
0.00514 1 1 8.35844e-17
0.00515 1 1 8.35844e-17
0.00516 1 1 8.35844e-17
0.00517 1 1 8.35844e-17
0.00518 1 1 8.35843e-17
0.00519 1 1 8.35843e-17
0.0052 1 1 8.35843e-17
0.00521 1 1 8.35843e-17
0.00522 1 1 8.35842e-17
0.00523 1 1 8.35842e-17
0.00524 1 1 8.35842e-17
0.00525 1 1 8.35842e-17
0.00526 1 1 8.35841e-17
0.00527 1 1 8.35841e-17
0.00528 1 1 8.35841e-17
0.00529 1 1 8.35841e-17
0.0053 1 1 8.3584e-17
0.00531 1 1 8.3584e-17
0.00532 1 1 8.3584e-17
0.00533 1 1 8.3584e-17
0.00534 1 1 8.35839e-17
0.00535 1 1 8.35839e-17
0.00536 1 1 8.35839e-17
0.00537 1 1 8.35839e-17
0.00538 1 1 8.35838e-17
0.00539 1 1 8.35838e-17
0.0054 1 1 8.35838e-17
0.00541 1 1 8.35838e-17
0.00542 1 1 8.35837e-17
0.00543 1 1 8.35837e-17
0.00544 1 1 8.35837e-17
0.00545 1 1 8.35837e-17
0.00546 1 1 8.35836e-17
0.00547 1 1 8.35836e-17
0.00548 1 1 8.35836e-17
0.00549 1 1 8.35836e-17
0.0055 1 1 8.35835e-17
0.00551 1 1 8.35835e-17
0.00552 1 1 8.35835e-17
0.00553 1 1 8.35835e-17
0.00554 1 1 8.35834e-17
0.00555 1 1 8.35834e-17
0.00556 1 1 8.35834e-17
0.00557 1 1 8.35834e-17
0.00558 1 1 8.35833e-17
0.00559 1 1 8.35833e-17
0.0056 1 1 8.35833e-17
0.00561 1 1 8.35833e-17
0.00562 1 1 8.35832e-17
0.00563 1 1 8.35832e-17
0.00564 1 1 8.35832e-17
0.00565 1 1 8.35832e-17
0.00566 1 1 8.35831e-17
0.00567 1 1 8.35831e-17
0.00568 1 1 8.35831e-17
0.00569 1 1 8.35831e-17
0.0057 1 1 8.3583e-17
0.00571 1 1 8.3583e-17
0.00572 1 1 8.3583e-17
0.00573 1 1 8.3583e-17
0.00574 1 1 8.35829e-17
0.00575 1 1 8.35829e-17
0.00576 1 1 8.35829e-17
0.00577 1 1 8.35829e-17
0.00578 1 1 8.35828e-17
0.00579 1 1 8.35828e-17
0.0058 1 1 8.35828e-17
0.00581 1 1 8.35828e-17
0.00582 1 1 8.35827e-17
0.00583 1 1 8.35827e-17
0.00584 1 1 8.35827e-17
0.00585 1 1 8.35827e-17
0.00586 1 1 8.35826e-17
0.00587 1 1 8.35826e-17
0.00588 1 1 8.35826e-17
0.00589 1 1 8.35826e-17
0.0059 1 1 8.35825e-17
0.00591 1 1 8.35825e-17
0.00592 1 1 8.35824e-17
0.00593 1 1 8.35824e-17
0.00594 1 1 8.35824e-17
0.00595 1 1 8.35824e-17
0.00596 1 1 8.35823e-17
0.00597 1 1 8.35823e-17
0.00598 1 1 8.35823e-17
0.00599 1 1 8.35823e-17
0.006 1 1 8.35822e-17
0.00601 1 1 8.35822e-17
0.00602 1 1 8.35822e-17
0.00603 1 1 8.35822e-17
0.00604 1 1 8.35821e-17
0.00605 1 1 8.35821e-17
0.00606 1 1 8.35821e-17
0.00607 1 1 8.35821e-17
0.00608 1 1 8.3582e-17
0.00609 1 1 8.3582e-17
0.0061 1 1 8.3582e-17
